Date Sold,Item,Buy Price,Sell Price,Hold Days,Profit ,Return %,Daily Return %,Efficiency Status,TOTAL PROFIT,VOLUME,AVERAGE RETURN,Weighted average return
11/14/2025,★ Hand Wraps | Cobalt Skulls,$288.45 ,$254.31 ,12,($34.14),-11.83567343,-0.986306119,❌ Poor,$534.60 ,"$6,235.98 ",9.551987551,8.610389417
,SSG 08 | Death Strike,$105.09 ,$125.00 ,10,$19.91 ,18.94566562,1.894566562,✅ Good,,,,
,★ Kukri Knife | Urban Masked,$80.05 ,$83.79 ,12,$3.74 ,4.67207995,0.389339996,⚠ Medium,,,,
,AK-47 | Midnight Laminate,$43.61 ,$46.70 ,10,$3.09 ,7.085530842,0.708553084,⚠ Medium,,,,
,Five-SeveN | Copper Galaxy,$12.10 ,$12.74 ,20,$0.64 ,5.289256198,0.26446281,⚠ Medium,,,,
,Classic Knife | Slaughter,$201.50 ,$195.05 ,23,($6.45),-3.200992556,-0.139173589,❌ Poor,,,,
11/22/2025,★ Butterfly Knife | Night,$320.80 ,$529.20 ,27,$208.40 ,64.96259352,2.406021982,✅ Good,,,,
,★ Hydra Gloves | Case Hardened,$230.00 ,$127.56 ,30,($102.44),-44.53913043,-1.484637681,❌ Poor,,,,
,"M4A4 | Buzz Kill",$235.00 ,$294.00 ,10,$59.00 ,25.10638298,2.510638298,✅ Good,,,,
,M4A1-S | Master Piece,$240.34 ,$281.33 ,9,$40.99 ,17.05500541,1.895000601,✅ Good,,,,
,"AUG | Chameleon",$61.69 ,$74.55 ,9,$12.86 ,20.84616632,2.316240702,✅ Good,,,,
,SSG 08 | Dragonfire,$165.12 ,$191.59 ,9,$26.47 ,16.0307655,1.781196167,✅ Good,,,,
,"AWP | Pink DDPAT",$86.16 ,$99.65 ,9,$13.49 ,15.65691736,1.739657485,✅ Good,,,,
,P2000 | Space Race,$25.52 ,$25.97 ,9,$0.45 ,1.763322884,0.195924765,⚠ Medium,,,,
12/15/2025,"SSG 08 | Abyss",$12.33 ,$14.21 ,8,$1.88 ,15.24736415,1.905920519,✅ Good,,,,
,M4A4 | Temukau,$73.00 ,$75.70 ,10,$2.70 ,3.698630137,0.369863014,⚠ Medium,,,,
,M4A4 | Temukau,$73.71 ,$75.70 ,10,$1.99 ,2.699769366,0.269976937,⚠ Medium,,,,
,SSG 08 | Dragonfire,$171.00 ,$174.44 ,11,$3.44 ,2.011695906,0.182881446,⚠ Medium,,,,
,Galil AR | Rainbow Spoon,$61.71 ,$64.87 ,10,$3.16 ,5.120725976,0.512072598,⚠ Medium,,,,
,Galil AR | Rainbow Spoon,$61.71 ,$64.87 ,12,$3.16 ,5.120725976,0.426727165,⚠ Medium,,,,
,Glock-18 | Brass,$172.21 ,$147.99 ,12,($24.22),-14.06422391,-1.172018659,❌ Poor,,,,
,Glock-18 | Brass,$130.00 ,$131.64 ,11,$1.64 ,1.261538462,0.114685315,⚠ Medium,,,,
,AWP | Elite Build,$27.93 ,$27.93 ,8,$0.00 ,0,0,❌ Poor,,,,
,M4A4 | Desert-Strike,$149.22 ,$156.51 ,9,$7.29 ,4.885404101,0.542822678,⚠ Medium,,,,
,AWP | Crakow!,$104.34 ,$113.68 ,10,$9.34 ,8.951504696,0.89515047,⚠ Medium,,,,
,MP9 | Mount Fuji,$22.54 ,$22.54 ,10,$0.00 ,0,0,❌ Poor,,,,
,AWP | Elite Build,$20.47 ,$25.00 ,9,$4.53 ,22.12994626,2.458882918,✅ Good,,,,
,Galil AR | Rainbow Spoon,$58.62 ,$61.34 ,8,$2.72 ,4.640054589,0.580006824,⚠ Medium,,,,
,Galil AR | Rainbow Spoon,$58.62 ,$61.08 ,13,$2.46 ,4.196519959,0.322809228,⚠ Medium,,,,
,Galil AR | Rainbow Spoon,$58.62 ,$61.74 ,13,$3.12 ,5.322415558,0.409416581,⚠ Medium,,,,
,SSG 08 | Death Strike,$112.51 ,$122.01 ,11,$9.50 ,8.443693894,0.767608536,⚠ Medium,,,,
1/18/2026,M4A4 | Buzz Kill,$92.16 ,$93.39 ,15,$1.23 ,1.334635417,0.088975694,⚠ Medium,,,,
,Dual Berettas | Twin Turbo,$16.34 ,$18.62 ,9,$2.28 ,13.95348837,1.550387597,✅ Good,,,,
,Zeus x27 | Charged Up,$37.12 ,$35.28 ,15,($1.84),-4.956896552,-0.33045977,❌ Poor,,,,
,"Zeus x27 | Charged Up",$37.12 ,$34.59 ,30,($2.53),-6.815732759,-0.227191092,❌ Poor,,,,
,AK-47 | Neon Rider,$49.50 ,$45.55 ,30,($3.95),-7.97979798,-0.265993266,❌ Poor,,,,
,"AK-47 | Redline",$210.00 ,$224.42 ,13,$14.42 ,6.866666667,0.528205128,⚠ Medium,,,,
,"MP9 | Setting Sun",$54.24 ,$127.77 ,8,$73.53 ,135.5641593,16.94551991,✅ Good,,,,
,MP9 | Starlight Protector,$95.50 ,$99.74 ,21,$4.24 ,4.439790576,0.211418599,⚠ Medium,,,,
,AWP | Elite Build,$92.97 ,$103.10 ,18,$10.13 ,10.89598795,0.605332664,⚠ Medium,,,,
,"M4A1-S | Dark Water",$111.27 ,$116.62 ,9,$5.35 ,4.808124382,0.534236043,⚠ Medium,,,,
,M4A4 | Hellish,$58.26 ,$64.67 ,9,$6.41 ,11.00240302,1.222489225,✅ Good,,,,
,AWP | Elite Build,$62.49 ,$75.56 ,8,$13.07 ,20.91534646,2.614418307,✅ Good,,,,
,"MP9 | Hydra",$57.00 ,$25.48 ,18,($31.52),-55.29824561,-3.072124756,❌ Poor,,,,
,★ Hand Wraps | Duct Tape,$60.33 ,$64.68 ,9,$4.35 ,7.210343113,0.801149235,⚠ Medium,,,,
,FAMAS | Mecha Industries,$31.91 ,$37.73 ,9,$5.82 ,18.23879662,2.026532957,✅ Good,,,,
,AWP | Elite Build,$92.97 ,$103.10 ,19,$10.13 ,10.89598795,0.57347305,⚠ Medium,,,,
,"M4A1-S | Vaporwave",$63.85 ,$65.66 ,12,$1.81 ,2.83476899,0.236230749,⚠ Medium,,,,
,"FAMAS | Dark Water",$23.49 ,$25.97 ,12,$2.48 ,10.55768412,0.87980701,⚠ Medium,,,,
Value bgn 3.3k,"Galil AR | Rainbow Spoon",$51.89 ,$50.86 ,12,($1.03),-1.984968202,-0.165414017,❌ Poor,,,,
2/9/2026,"AUG | Chameleon",$66.70 ,$73.51 ,9,$6.81 ,10.20989505,1.134432784,✅ Good,,,,
,"FAMAS | Dark Water",$20.50 ,$24.70 ,9,$4.20 ,20.48780488,2.276422764,✅ Good,,,,
,"SSG 08 | Death Strike",$72.19 ,$74.40 ,10,$2.21 ,3.06136584,0.306136584,⚠ Medium,,,,
,M4A4 | Hellfire,$250.00 ,$272.25 ,8,$22.25 ,8.9,1.1125,✅ Good,,,,
,Galil AR | Cerberus,$96.00 ,$102.60 ,15,$6.60 ,6.875,0.458333333,⚠ Medium,,,,
,SCAR-20 | Bloodsport,$21.60 ,$23.00 ,10,$1.40 ,6.481481481,0.648148148,⚠ Medium,,,,
2/14/2026,AWP | Electric Hive,$124.17 ,$127.40 ,15,$3.23 ,2.601272449,0.173418163,⚠ Medium,,,,
,"FAMAS | Rapid Eye Movement",$26.09 ,$25.97 ,20,($0.12),-0.45994634,-0.022997317,❌ Poor,,,,
,Tec-9 | Isaac,$19.70 ,$20.87 ,15,$1.17 ,5.939086294,0.395939086,⚠ Medium,,,,
,USP-S | The Traitor,$37.21 ,$39.71 ,8,$2.50 ,6.718624026,0.839828003,⚠ Medium,,,,
,Broken Fang Gloves | Needle Point,$79.41 ,$89.18 ,8,$9.77 ,12.30323637,1.537904546,✅ Good,,,,
2/18/2026,SSG 08 | Death's Head,$36.40 ,$42.60 ,8,$6.20 ,17.03296703,2.129120879,✅ Good,,,,
Value bgn 3.5k,"M4A1-S | Player Two",$59.70 ,$63.00 ,8,$3.30 ,5.527638191,0.690954774,⚠ Medium,,,,
,"AWP | POP AWP",$33.94 ,$37.39 ,8,$3.45 ,10.16499705,1.270624632,✅ Good,,,,
,M4A4 | Spider Lily,$29.67 ,$32.66 ,11,$2.99 ,10.07751938,0.916138125,⚠ Medium,,,,
,Lt. Commander Ricksaw | NSWC SEAL,$28.72 ,$33.81 ,9,$5.09 ,17.72284123,1.969204581,✅ Good,,,,
,Glock-18 | Red Tire,$21.03 ,$31.41 ,8,$10.38 ,49.35805991,6.169757489,✅ Good,,,,
,MAC-10 | Propaganda,$70.40 ,$80.10 ,8,$9.70 ,13.77840909,1.722301136,✅ Good,,,,
,Glock-18 | Red Tire,$23.07 ,$30.51 ,10,$7.44 ,32.2496749,3.22496749,✅ Good,,,,
,AWP | Pink DDPAT,$39.00 ,$44.31 ,12,$5.31 ,13.61538462,1.134615385,✅ Good,,,,
2/27/2026,Dual Berettas | Sweet Little Angels,$23.39 ,$27.50 ,8,$4.11 ,17.5716118,2.196451475,✅ Good,,,,
,"AWP | Fever Dream",$27.89 ,$33.00 ,16,$5.11 ,18.3219792,1.1451237,✅ Good,,,,
,AWP | Fever Dream,$27.89 ,$33.00 ,16,$5.11 ,18.3219792,1.1451237,✅ Good,,,,
,"USP-S | Jawbreaker",$27.67 ,$32.00 ,8,$4.33 ,15.64871702,1.956089628,✅ Good,,,,
,Krakow 2017 Challengers Autograph Capsule,$21.01 ,$22.78 ,10,$1.77 ,8.424559733,0.842455973,⚠ Medium,,,,
,Krakow 2017 Challengers Autograph Capsule,$21.01 ,$22.78 ,10,$1.77 ,8.424559733,0.842455973,⚠ Medium,,,,
,★ Broken Fang Gloves | Needle Point,$80.33 ,$85.75 ,10,$5.42 ,6.747167932,0.674716793,⚠ Medium,,,,
,AWP | Atheris,$16.97 ,$18.18 ,15,$1.21 ,7.130229817,0.475348655,⚠ Medium,,,,
,"MP7 | Smoking Kills",$14.56 ,$15.28 ,8,$0.72 ,4.945054945,0.618131868,⚠ Medium,,,,
